"","bio1","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9"
"Alstroemeria_orchidioides",216,223,202,1540,269,8,75,724,31,226,49,98,71,836,280,142,138,217,209
"Alstroemeria_amabilis",190,227,151,2017,280,84,40,808,279,759,279,82,47,3042,274,103,171,227,151
"Alstroemeria_calliantha",125,147,99,2122,363,34,69,1036,120,947,120,125,66,1887,202,15,187,146,99
"Alstroemeria_apertiflora",170,203,133,1527,198,76,27,521,271,503,303,116,57,2677,264,63,201,201,139
"Alstroemeria_stenopetala",209,218,198,1873,353,5,80,930,26,260,53,104,70,786,281,133,148,208,204
"Alstroemeria_viridiflora",217,226,205,1609,280,4,79,806,20,228,40,101,69,840,287,141,146,218,212
"Alstroemeria_ochracea",125,147,99,2122,363,34,69,1036,120,947,120,125,66,1887,202,15,187,146,99
"Alstroemeria_punctata",235,243,224,1537,263,6,77,737,20,216,42,95,68,791,302,163,139,236,232
"Alstroemeria_caryophyllaea",222,251,192,2343,305,91,35,853,309,853,309,68,48,2303,286,145,141,251,192
"Alstroemeria_inodora",193,209,171,676,112,23,54,313,78,222,88,96,67,1462,259,117,142,204,178
"Alstroemeria_plantaginea",194,217,166,1517,336,13,81,825,45,577,45,119,64,2034,278,93,185,212,166
"Alstroemeria_rupestris",168,187,141,1627,336,16,80,863,57,691,66,113,65,1807,246,74,172,184,144
"Alstroemeria_psittacina",221,271,170,1559,164,75,21,455,268,398,268,116,51,3977,341,115,226,220,170
"Alstroemeria_radula",125,147,99,2122,363,34,69,1036,120,947,120,125,66,1887,202,15,187,146,99
"Alstroemeria_cunha",178,205,147,1338,232,25,64,635,103,615,103,102,59,2224,253,82,171,204,147
"Alstroemeria_foliosa",140,163,113,1950,343,27,72,980,100,887,100,126,65,1962,219,28,191,162,113
"Alstroemeria_gardneri",207,215,192,1472,252,7,74,685,30,215,50,104,71,928,274,128,146,210,199
"Alstroemeria_speciosa",207,237,178,2990,372,119,36,1074,381,1074,381,78,53,2315,276,130,146,237,178
"Alstroemeria_brasiliensis",253,258,244,2383,408,3,75,1157,27,642,49,144,69,592,357,149,208,251,245
"Alstroemeria_sellowiana",266,269,261,2785,333,156,25,962,496,527,895,92,87,278,320,215,105,263,268
"Alstroemeria_longistyla",212,221,197,1452,248,6,76,700,21,203,43,106,69,1008,284,131,153,216,206
"Alstroemeria_pygmaea",32,45,17,515,133,0,90,294,5,294,5,140,74,1075,112,-76,188,45,17
"Alstroemeria_longistaminea",224,237,202,579,147,2,98,367,10,137,91,91,71,1416,291,163,128,234,226
"Alstroemeria_julieae",125,147,99,2122,363,34,69,1036,120,947,120,125,66,1887,202,15,187,146,99
"Alstroemeria_monticola",198,209,177,800,106,21,45,306,87,293,120,114,72,1332,274,117,157,208,196
"Alstroemeria_pseudospathulata",-12,42,-65,657,111,16,64,316,62,62,313,147,57,4186,136,-119,255,-59,42
"Alstroemeria_aurea",63,102,29,1594,301,29,73,835,108,108,798,113,57,2849,186,-12,198,33,102
"Alstroemeria_presliana",57,112,3,953,197,16,82,533,54,54,511,143,56,4228,208,-47,255,10,112
"Alstroemeria_revoluta",95,146,45,786,189,2,100,500,13,13,472,140,56,3915,237,-10,247,52,142
"Alstroemeria_ligtu",128,161,95,668,200,2,113,446,11,11,446,112,61,2538,229,48,181,100,161
"Alstroemeria_umbellata",40,67,3,219,90,0,162,203,1,177,1,182,72,2472,153,-98,251,66,25
"Alstroemeria_patagonica",58,109,2,216,27,11,26,73,38,40,64,97,46,4194,168,-41,209,26,103
"Alstroemeria_diluta",148,178,120,94,26,0,119,68,0,0,68,82,55,2269,225,76,149,120,177
"Alstroemeria_kingii",154,187,121,35,14,0,146,30,0,0,30,89,54,2566,237,75,162,121,187
"Alstroemeria_werdermannii",136,157,108,11,6,0,161,8,0,0,8,122,70,1941,218,45,173,108,147
"Alstroemeria_paupercula",181,206,157,0,0,0,0,0,0,0,0,70,57,1926,250,128,122,205,205
"Alstroemeria_graminea",171,201,140,14,4,0,76,11,0,0,11,106,59,2322,259,82,177,140,201
"Alstroemeria_hookeri",128,161,95,668,200,2,113,446,11,11,446,112,61,2538,229,48,181,100,161
"Alstroemeria_magnifica",136,157,108,11,6,0,161,8,0,0,8,122,70,1941,218,45,173,108,147
"Alstroemeria_pelegrina",47,76,9,181,77,0,163,170,0,149,1,179,71,2594,160,-90,250,75,31
"Alstroemeria_andina",38,62,10,48,7,1,44,18,5,17,16,122,70,2036,123,-50,173,16,36
"Bomarea_coccinea",127,133,118,953,142,25,47,356,80,289,80,144,84,597,205,35,170,130,118
"Bomarea_perglabra",85,87,81,847,131,12,57,371,52,338,52,98,88,281,140,29,111,87,81
"Bomarea_dissitifolia",62,65,54,1474,161,87,21,481,282,309,432,83,84,454,115,17,98,57,63
"Bomarea_pardina",178,179,175,1756,181,114,15,518,357,415,439,104,89,171,237,121,116,177,177
"Bomarea_acutifolia",150,165,134,2151,431,47,82,1169,143,493,207,117,70,1173,235,69,166,153,143
"Bomarea_patacocensis",19,20,13,697,97,20,43,279,77,279,77,87,87,315,70,-30,100,20,13
"Bomarea_chiriquina",114,120,105,3171,474,72,52,1267,242,910,337,81,79,593,165,63,102,117,108
"Bomarea_uncifolia",66,67,63,655,99,18,48,279,64,157,64,97,90,205,121,14,107,66,63
"Bomarea_superba",114,121,103,349,68,4,67,170,14,170,14,154,81,748,198,8,190,121,103
"Bomarea_crassifolia",207,214,202,5177,756,91,51,2115,411,874,2069,98,83,444,268,151,117,204,208
"Bomarea_macrocephala",121,165,70,218,55,0,110,155,2,155,4,139,55,3794,237,-13,250,165,71
"Bomarea_densiflora",149,150,146,1874,322,26,69,919,128,769,128,97,84,202,205,90,115,149,146
"Bomarea_ovata",184,200,167,3,1,0,43,3,0,3,0,131,79,1243,261,96,165,200,180
"Bomarea_nervosa",134,140,126,1218,152,61,26,388,198,345,198,115,82,484,202,62,140,134,126
"Bomarea_distichifolia",126,132,119,1210,149,61,25,380,201,342,201,117,82,473,196,55,141,127,119
"Bomarea_multiflora",129,131,125,3062,449,76,45,1238,303,860,1238,90,90,243,180,80,100,125,130
