species,habit,range
Androcymbium albanense,tuber geophyte,27
Androcymbium albomarginatum,tuber geophyte,27
Androcymbium amphigaripense,tuber geophyte,27
Androcymbium austrocapense,tuber geophyte,27
Androcymbium bellum,tuber geophyte,27
Androcymbium buchubergense,tuber geophyte,27
Androcymbium burchellii,tuber geophyte,27
Androcymbium burkei,tuber geophyte,27
Androcymbium capense,tuber geophyte,27
Androcymbium cedarbergense,tuber geophyte,27
Androcymbium ciliolatum,tuber geophyte,27
Androcymbium circinatum,tuber geophyte,27
Androcymbium crenulatum,tuber geophyte,27
Androcymbium crispum,tuber geophyte,27
Androcymbium cruciatum,tuber geophyte,27
Androcymbium cuspidatum,tuber geophyte,27
Androcymbium decipiens,tuber geophyte,27
Androcymbium dregei,tuber geophyte,27
Androcymbium eghimocymbion,tuber geophyte,27
Androcymbium etesionamibense,tuber geophyte,27
Androcymbium eucomoides,tuber geophyte,27
Androcymbium europaeum,tuber geophyte,12 20
Androcymbium exiguum,tuber geophyte,27
Androcymbium gramineum,tuber geophyte,20 22
Androcymbium greuterocymbium,tuber geophyte,27
Androcymbium hantamense,tuber geophyte,27
Androcymbium henssenianum,tuber geophyte,27
Androcymbium hierrense,tuber geophyte,21
Androcymbium hughocymbion,tuber geophyte,27
Androcymbium huntleyi,tuber geophyte,27
Androcymbium irroratum,tuber geophyte,27
Androcymbium karooparkense,tuber geophyte,27
Androcymbium knersvlaktense,tuber geophyte,27
Androcymbium kunkelianum,tuber geophyte,27
Androcymbium leistneri,tuber geophyte,27
Androcymbium longipes,tuber geophyte,27
Androcymbium melanthioides,tuber geophyte,26 27
Androcymbium natalense,tuber geophyte,27
Androcymbium orienticapense,tuber geophyte,27
Androcymbium palaestinum,tuber geophyte,20 34
Androcymbium poeltianum,tuber geophyte,27
Androcymbium praeirroratum,tuber geophyte,27
Androcymbium psammophilum,tuber geophyte,21
Androcymbium rechingeri,tuber geophyte,13 20
Androcymbium roseum,tuber geophyte,26 27
Androcymbium scabromarginatum,tuber geophyte,27
Androcymbium schimperianum,tuber geophyte,24 35
Androcymbium stirtonii,tuber geophyte,27
Androcymbium striatum,tuber geophyte,24 25 26 27
Androcymbium swazicum,tuber geophyte,27
Androcymbium undulatum,tuber geophyte,27
Androcymbium vanjaarsveldii,tuber geophyte,27
Androcymbium villosum,tuber geophyte,27
Androcymbium volutare,tuber geophyte,27
Androcymbium walteri,tuber geophyte,27
Androcymbium worsonense,tuber geophyte,27
Baeometra uniflora,tuber geophyte,27
Burchardia bairdiae,tuber geophyte,50
Burchardia congesta,tuber geophyte,50
Burchardia monantha,tuber geophyte,50
Burchardia multiflora,tuber geophyte,50
Burchardia rosea,tuber geophyte,50
Burchardia umbellata,tuber geophyte,50
Camptorrhiza indica,tuber geophyte,40
Camptorrhiza strumosa,tuber geophyte,26 27
Colchicum alpinum,tuber geophyte,11 12 13
Colchicum androcymbioides,tuber geophyte,12
Colchicum antepense,tuber geophyte,34
Colchicum antilibanoticum,tuber geophyte,34
Colchicum arenarium,tuber geophyte,11 13 14
Colchicum arenasii,tuber geophyte,12
Colchicum asteranthum,tuber geophyte,13
Colchicum atticum,tuber geophyte,13 34
Colchicum autumnale,tuber geophyte,11 12 13
Colchicum balansae,tuber geophyte,13 34
Colchicum baytopiorum,tuber geophyte,34
Colchicum bivonae,tuber geophyte,12 13 34
Colchicum boissieri,tuber geophyte,13 34
