"","genus","species","habit","scheme_1","scheme_2","scheme_3_root","scheme_3_stem","scheme_4_stem","scheme_4_root"
"1","Androcymbium","Androcymbium albanense","tuber geophyte",TRUE,"geo","FALSE","corm",TRUE,"FALSE"
"2","Androcymbium","Androcymbium albomarginatum","tuber geophyte",TRUE,"geo","FALSE","corm",TRUE,"FALSE"
"3","Androcymbium","Androcymbium amphigaripense","tuber geophyte",TRUE,"geo","FALSE","corm",TRUE,"FALSE"
"4","Androcymbium","Androcymbium austrocapense","tuber geophyte",TRUE,"geo","FALSE","corm",TRUE,"FALSE"
"5","Androcymbium","Androcymbium bellum","tuber geophyte",TRUE,"geo","FALSE","corm",TRUE,"FALSE"
"6","Androcymbium","Androcymbium buchubergense","tuber geophyte",TRUE,"geo","FALSE","corm",TRUE,"FALSE"
"7","Androcymbium","Androcymbium burchellii","tuber geophyte",TRUE,"geo","FALSE","corm",TRUE,"FALSE"
"8","Androcymbium","Androcymbium burkei","tuber geophyte",TRUE,"geo","FALSE","corm",TRUE,"FALSE"
"9","Androcymbium","Androcymbium capense","tuber geophyte",TRUE,"geo","FALSE","corm",TRUE,"FALSE"
"10","Androcymbium","Androcymbium cedarbergense","tuber geophyte",TRUE,"geo","FALSE","corm",TRUE,"FALSE"
"11","Androcymbium","Androcymbium ciliolatum","tuber geophyte",TRUE,"geo","FALSE","corm",TRUE,"FALSE"
"12","Androcymbium","Androcymbium circinatum","tuber geophyte",TRUE,"geo","FALSE","corm",TRUE,"FALSE"
"13","Androcymbium","Androcymbium crenulatum","tuber geophyte",TRUE,"geo","FALSE","corm",TRUE,"FALSE"
"14","Androcymbium","Androcymbium crispum","tuber geophyte",TRUE,"geo","FALSE","corm",TRUE,"FALSE"
"15","Androcymbium","Androcymbium cruciatum","tuber geophyte",TRUE,"geo","FALSE","corm",TRUE,"FALSE"
"16","Androcymbium","Androcymbium cuspidatum","tuber geophyte",TRUE,"geo","FALSE","corm",TRUE,"FALSE"
"17","Androcymbium","Androcymbium decipiens","tuber geophyte",TRUE,"geo","FALSE","corm",TRUE,"FALSE"
"18","Androcymbium","Androcymbium dregei","tuber geophyte",TRUE,"geo","FALSE","corm",TRUE,"FALSE"
"19","Androcymbium","Androcymbium eghimocymbion","tuber geophyte",TRUE,"geo","FALSE","corm",TRUE,"FALSE"
