genus,species,habit,scheme_3_root,scheme_3_stem
Androcymbium,Androcymbium albanense,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium albomarginatum,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium amphigaripense,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium austrocapense,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium bellum,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium buchubergense,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium burchellii,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium burkei,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium capense,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium cedarbergense,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium ciliolatum,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium circinatum,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium crenulatum,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium crispum,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium cruciatum,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium cuspidatum,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium decipiens,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium dregei,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium eghimocymbion,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium etesionamibense,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium eucomoides,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium europaeum,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium exiguum,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium gramineum,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium greuterocymbium,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium hantamense,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium henssenianum,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium hierrense,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium hughocymbion,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium huntleyi,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium irroratum,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium karooparkense,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium knersvlaktense,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium kunkelianum,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium leistneri,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium longipes,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium melanthioides,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium natalense,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium orienticapense,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium palaestinum,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium poeltianum,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium praeirroratum,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium psammophilum,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium rechingeri,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium roseum,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium scabromarginatum,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium schimperianum,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium stirtonii,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium striatum,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium swazicum,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium undulatum,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium vanjaarsveldii,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium villosum,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium volutare,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium walteri,tuber geophyte,normal_rt,corm
Androcymbium,Androcymbium worsonense,tuber geophyte,normal_rt,corm
Baeometra,Baeometra uniflora,tuber geophyte,normal_rt,corm
Burchardia,Burchardia bairdiae,tuber geophyte,rt_tuber_cont,none
Burchardia,Burchardia congesta,tuber geophyte,rt_tuber_cont,none
Burchardia,Burchardia monantha,tuber geophyte,rt_tuber_cont,none
Burchardia,Burchardia multiflora,tuber geophyte,rt_tuber_cont,none
Burchardia,Burchardia rosea,tuber geophyte,rt_tuber_cont,none
Burchardia,Burchardia umbellata,tuber geophyte,rt_tuber_cont,none
Camptorrhiza,Camptorrhiza indica,tuber geophyte,normal_rt,corm
Camptorrhiza,Camptorrhiza strumosa,tuber geophyte,normal_rt,corm
Colchicum,Colchicum alpinum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum androcymbioides,tuber geophyte,normal_rt,corm
Colchicum,Colchicum antepense,tuber geophyte,normal_rt,corm
Colchicum,Colchicum antilibanoticum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum arenarium,tuber geophyte,normal_rt,corm
Colchicum,Colchicum arenasii,tuber geophyte,normal_rt,corm
Colchicum,Colchicum asteranthum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum atticum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum autumnale,tuber geophyte,normal_rt,corm
Colchicum,Colchicum balansae,tuber geophyte,normal_rt,corm
Colchicum,Colchicum baytopiorum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum bivonae,tuber geophyte,normal_rt,corm
Colchicum,Colchicum boissieri,tuber geophyte,normal_rt,corm
Colchicum,Colchicum bulbocodium,tuber geophyte,normal_rt,corm
Colchicum,Colchicum burttii,tuber geophyte,normal_rt,corm
Colchicum,Colchicum chalcedonicum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum chimonanthum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum chlorobasis,tuber geophyte,normal_rt,corm
Colchicum,Colchicum cilicicum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum confusum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum corsicum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum cretense,tuber geophyte,normal_rt,corm
Colchicum,Colchicum crocifolium,tuber geophyte,normal_rt,corm
Colchicum,Colchicum cupanii,tuber geophyte,normal_rt,corm
Colchicum,Colchicum davisii,tuber geophyte,normal_rt,corm
Colchicum,Colchicum decaisnei,tuber geophyte,normal_rt,corm
Colchicum,Colchicum doerfleri,tuber geophyte,normal_rt,corm
Colchicum,Colchicum dolichantherum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum eichleri,tuber geophyte,normal_rt,corm
Colchicum,Colchicum euboeum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum fasciculare,tuber geophyte,normal_rt,corm
Colchicum,Colchicum feinbruniae,tuber geophyte,normal_rt,corm
Colchicum,Colchicum figlalii,tuber geophyte,normal_rt,corm
Colchicum,Colchicum filifolium,tuber geophyte,normal_rt,corm
Colchicum,Colchicum freynii,tuber geophyte,normal_rt,corm
Colchicum,Colchicum gonarei,tuber geophyte,normal_rt,corm
Colchicum,Colchicum gracile,tuber geophyte,normal_rt,corm
Colchicum,Colchicum graecum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum greuteri,tuber geophyte,normal_rt,corm
Colchicum,Colchicum haynaldii,tuber geophyte,normal_rt,corm
Colchicum,Colchicum heldreichii,tuber geophyte,normal_rt,corm
Colchicum,Colchicum hierosolymitanum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum hirsutum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum hungaricum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum ignescens,tuber geophyte,normal_rt,corm
Colchicum,Colchicum imperatoris-friderici,tuber geophyte,normal_rt,corm
Colchicum,Colchicum inundatum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum kesselringii,tuber geophyte,normal_rt,corm
Colchicum,Colchicum kotschyi,tuber geophyte,normal_rt,corm
Colchicum,Colchicum kurdicum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum laetum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum lagotum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum leptanthum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum lingulatum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum longifolium,tuber geophyte,normal_rt,corm
Colchicum,Colchicum lusitanum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum luteum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum macedonicum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum macrophyllum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum manissadjianii,tuber geophyte,normal_rt,corm
Colchicum,Colchicum maraschicum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum micaceum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum micranthum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum minutum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum mirzoevae,tuber geophyte,normal_rt,corm
Colchicum,Colchicum montanum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum multiflorum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum munzurense,tuber geophyte,normal_rt,corm
Colchicum,Colchicum nanum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum neapolitanum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum parlatoris,tuber geophyte,normal_rt,corm
Colchicum,Colchicum parnassicum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum paschei,tuber geophyte,normal_rt,corm
Colchicum,Colchicum peloponnesiacum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum persicum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum polyphyllum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum pulchellum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum pusillum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum raddeanum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum rausii,tuber geophyte,normal_rt,corm
Colchicum,Colchicum ritchii,tuber geophyte,normal_rt,corm
Colchicum,Colchicum robustum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum sanguicolle,tuber geophyte,normal_rt,corm
Colchicum,Colchicum schimperi,tuber geophyte,normal_rt,corm
Colchicum,Colchicum serpentinum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum sfikasianum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum sieheanum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum soboliferum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum speciosum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum stevenii,tuber geophyte,normal_rt,corm
Colchicum,Colchicum szovitsii,tuber geophyte,normal_rt,corm
Colchicum,Colchicum trigynum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum triphyllum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum troodi,tuber geophyte,normal_rt,corm
Colchicum,Colchicum tunicatum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum turcicum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum tuviae,tuber geophyte,normal_rt,corm
Colchicum,Colchicum umbrosum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum varians,tuber geophyte,normal_rt,corm
Colchicum,Colchicum variegatum,tuber geophyte,normal_rt,corm
Colchicum,Colchicum verlaqueae,tuber geophyte,normal_rt,corm
Colchicum,Colchicum wendelboi,tuber geophyte,normal_rt,corm
Colchicum,Colchicum woronowii,tuber geophyte,normal_rt,corm
Colchicum,Colchicum zahnii,tuber geophyte,normal_rt,corm
Disporum,Disporum acuminatissimum,geophyte rhizome,normal_rt,rhizome
Disporum,Disporum acuminatum,geophyte rhizome,normal_rt,rhizome
Disporum,Disporum bodinieri,geophyte rhizome,normal_rt,rhizome
Disporum,Disporum calcaratum,geophyte rhizome,normal_rt,rhizome
Disporum,Disporum cantoniense,geophyte rhizome,normal_rt,rhizome
Disporum,Disporum hainanense,geophyte rhizome,normal_rt,rhizome
Disporum,Disporum jinfoshanense,tuber geophyte,NA,NA
Disporum,Disporum kawakamii,geophyte rhizome,normal_rt,rhizome
Disporum,Disporum leucanthum,geophyte rhizome,normal_rt,rhizome
Disporum,Disporum longistylum,geophyte rhizome,normal_rt,rhizome
Disporum,Disporum lutescens,geophyte rhizome,normal_rt,rhizome
Disporum,Disporum megalanthum,geophyte rhizome,normal_rt,rhizome
Disporum,Disporum nantouense,geophyte rhizome,normal_rt,rhizome
Disporum,Disporum sessile,geophyte rhizome,normal_rt,rhizome
Disporum,Disporum shimadae,geophyte rhizome,normal_rt,rhizome
Disporum,Disporum smilacinum,geophyte rhizome,normal_rt,rhizome
Disporum,Disporum tonkinense,geophyte rhizome,normal_rt,rhizome
Disporum,Disporum trabeculatum,geophyte rhizome,normal_rt,rhizome
Disporum,Disporum uniflorum,geophyte rhizome,normal_rt,rhizome
Disporum,Disporum viridescens,geophyte rhizome,normal_rt,rhizome
Gloriosa,Gloriosa baudii,tuber geophyte,normal_rt,corm
Gloriosa,Gloriosa carsonii,tuber geophyte,normal_rt,corm
Gloriosa,Gloriosa flavovirens,tuber geophyte,normal_rt,corm
Gloriosa,Gloriosa lindenii,tuber geophyte,normal_rt,corm
Gloriosa,Gloriosa littonioides,tuber geophyte,normal_rt,corm
Gloriosa,Gloriosa modesta,tuber geophyte,normal_rt,corm
Gloriosa,Gloriosa revoilii,tuber geophyte,normal_rt,corm
Gloriosa,Gloriosa rigidifolia,tuber geophyte,normal_rt,corm
Gloriosa,Gloriosa sessiliflora,tuber geophyte,normal_rt,corm
Gloriosa,Gloriosa simplex,tuber geophyte,normal_rt,corm
Gloriosa,Gloriosa superba,tuber geophyte,normal_rt,corm
Hexacyrtis,Hexacyrtis dickiana,tuber geophyte,normal_rt,corm
Iphigenia,Iphigenia boinensis,tuber geophyte,normal_rt,corm
